,experimen_no,algorithm,query_strategy,number_of_instances,f1
0,1,lr,,401,0.35793745935863464
1,1,lr,,401,0.36499847522026885
2,1,lr,,401,0.3891638401320625
3,1,lr,,401,0.4422969350913963
4,1,lr,,401,0.4294816741165368
5,1,lr,,401,0.41192354896090794
6,1,lr,,401,0.3814737104412895
7,1,lr,,401,0.3909103380651371
8,1,lr,,401,0.40105904460382075
9,1,lr,,401,0.4084459877285662
