experimen_no,algorithm,query_strategy,number_of_instances,f1
11,"state=0/foldid=1/ask_ids=['111:4', '54:1', '137:1', '132:2', '125:4', '154:1', '76:1', '71:3']",cnn-sep,lc,166,0.8087826228341163
12,"state=0/foldid=1/ask_ids=['83:2', '99:2', '141:3', '151:4', '132:2', '56:4', '74:3', '145:2', '148:3', '139:2']",cnn-sep,rs,58,0.6734031416210209
13,"state=0/foldid=1/ask_ids=['69:2', '142:1', '154:1', '66:1', '112:2', '161:3', '144:3', '59:2', '149:2', '130:2']",cnn-sep,rs,68,0.6639485423799149
14,"state=0/foldid=1/ask_ids=['138:2', '157:3', '107:2', '122:2', '110:3', '120:4', '134:2', '137:1', '111:4', '71:3']",cnn-sep,rs,78,0.7939899695399957
15,"state=0/foldid=1/ask_ids=['117:3', '73:3', '136:2', '158:1', '62:4', '146:1', '97:3', '85:4', '76:1', '101:2']",cnn-sep,rs,88,0.8035112525038293
16,"state=0/foldid=1/ask_ids=['118:1', '89:3', '127:2', '88:3', '65:4', '92:1', '106:2', '93:2', '58:3', '123:4']",cnn-sep,rs,98,0.6372649959630952
17,"state=0/foldid=1/ask_ids=['98:2', '113:3', '63:4', '64:1', '125:4', '155:2', '72:2', '49:3', '104:3', '51:2']",cnn-sep,rs,108,0.7604597701149425
18,"state=0/foldid=1/ask_ids=['82:4', '60:1', '53:2', '119:2', '128:3', '103:2', '86:2', '102:2', '150:1', '143:3']",cnn-sep,rs,118,0.8159523477127832
19,"state=0/foldid=1/ask_ids=['163:1', '116:3', '68:2', '91:2', '94:2', '84:2', '160:1', '131:1', '70:4', '156:4']",cnn-sep,rs,128,0.8080513374225612
20,"state=0/foldid=1/ask_ids=['165:4', '108:3', '55:4', '87:4', '67:1', '57:4', '100:1', '152:2', '153:4', '79:3']",cnn-sep,rs,138,0.82622519731114
21,"state=0/foldid=1/ask_ids=['105:4', '140:1', '52:3', '109:3', '126:2', '164:1', '129:2', '75:1', '80:3', '147:2']",cnn-sep,rs,148,0.775716282320056
22,"state=0/foldid=1/ask_ids=['133:4', '48:4', '124:2', '115:4', '95:1', '96:3', '159:1', '77:2', '135:3', '50:1']",cnn-sep,rs,158,0.7891041162227603
23,"state=0/foldid=1/ask_ids=['61:4', '162:2', '81:3', '114:3', '121:2', '54:1', '78:1', '90:2']",cnn-sep,rs,166,0.7531068844736077
0,"state=0/foldid=2/ask_ids=['48:3', '73:2', '162:2', '77:2', '116:2', '62:4', '144:2', '86:2', '100:1', '165:4']",cnn-sep,lc,58,0.7626190476190475
1,"state=0/foldid=2/ask_ids=['92:1', '114:2', '141:2', '108:2', '129:1', '53:2', '54:1', '149:2', '122:1', '76:1']",cnn-sep,lc,68,0.8396203751921837
2,"state=0/foldid=2/ask_ids=['131:1', '95:1', '50:1', '142:1', '150:1', '70:4', '139:2', '111:4', '78:1', '98:1']",cnn-sep,lc,78,0.8722582972582972
3,"state=0/foldid=2/ask_ids=['60:1', '90:1', '153:4', '125:4', '155:2', '154:1', '138:2', '115:4', '65:4', '99:2']",cnn-sep,lc,88,0.8368306163928986
4,"state=0/foldid=2/ask_ids=['82:3', '87:4', '133:4', '74:3', '96:2', '88:3', '71:2', '94:2', '109:3', '103:2']",cnn-sep,lc,98,0.785010269351643
5,"state=0/foldid=2/ask_ids=['101:1', '61:4', '110:2', '119:2', '136:2', '118:1', '130:2', '64:1', '163:1', '91:2']",cnn-sep,lc,108,0.8130913220551378
6,"state=0/foldid=2/ask_ids=['56:4', '158:1', '120:4', '75:1', '145:1', '148:3', '84:2', '140:1', '89:3', '107:2']",cnn-sep,lc,118,0.8441091517178474
7,"state=0/foldid=2/ask_ids=['156:4', '151:3', '55:3', '105:4', '63:3', '68:1', '117:3', '57:3', '143:3', '81:3']",cnn-sep,lc,128,0.8673639991008205
8,"state=0/foldid=2/ask_ids=['164:1', '123:4', '113:2', '58:3', '51:1', '128:2', '135:2', '52:2', '126:2', '80:2']",cnn-sep,lc,138,0.7430971896955504
9,"state=0/foldid=2/ask_ids=['161:2', '132:2', '69:2', '124:2', '112:2', '102:2', '152:2', '157:2', '83:2', '147:2']",cnn-sep,lc,148,0.672191818831211
10,"state=0/foldid=2/ask_ids=['127:2', '106:2', '67:1', '66:1', '134:1', '159:1', '121:2', '59:2', '146:1', '160:1']",cnn-sep,lc,158,0.7205312168610816
11,"state=0/foldid=2/ask_ids=['72:2', '97:3', '49:3', '93:1', '137:1', '79:3', '104:3', '85:3']",cnn-sep,lc,166,0.78006216006216
12,"state=0/foldid=2/ask_ids=['80:2', '87:4', '148:3', '127:2', '117:3', '69:2', '66:1', '114:2', '105:4', '58:3']",cnn-sep,rs,58,0.7594040131775981
13,"state=0/foldid=2/ask_ids=['106:2', '81:3', '160:1', '142:1', '156:4', '150:1', '122:1', '152:2', '146:1', '107:2']",cnn-sep,rs,68,0.8415349174681674
14,"state=0/foldid=2/ask_ids=['104:3', '162:2', '75:1', '145:1', '139:2', '154:1', '103:2', '77:2', '49:3', '132:2']",cnn-sep,rs,78,0.8330516891053088
15,"state=0/foldid=2/ask_ids=['128:2', '120:4', '83:2', '147:2', '64:1', '84:2', '138:2', '57:3', '79:3', '112:2']",cnn-sep,rs,88,0.8149978131321415
16,"state=0/foldid=2/ask_ids=['115:4', '129:1', '60:1', '85:3', '61:4', '97:3', '118:1', '52:2', '94:2', '91:2']",cnn-sep,rs,98,0.8061386686511911
17,"state=0/foldid=2/ask_ids=['109:3', '78:1', '165:4', '89:3', '92:1', '149:2', '123:4', '134:1', '101:1', '70:4']",cnn-sep,rs,108,0.7618660287081339
18,"state=0/foldid=2/ask_ids=['51:1', '99:2', '76:1', '131:1', '73:2', '155:2', '133:4', '159:1', '95:1', '161:2']",cnn-sep,rs,118,0.7939630683380972
19,"state=0/foldid=2/ask_ids=['86:2', '157:2', '96:2', '136:2', '144:2', '67:1', '48:3', '164:1', '68:1', '93:1']",cnn-sep,rs,128,0.7856722584007345
20,"state=0/foldid=2/ask_ids=['54:1', '72:2', '56:4', '143:3', '74:3', '71:2', '82:3', '158:1', '59:2', '141:2']",cnn-sep,rs,138,0.8248247048650273
21,"state=0/foldid=2/ask_ids=['88:3', '126:2', '116:2', '100:1', '98:1', '153:4', '110:2', '111:4', '90:1', '130:2']",cnn-sep,rs,148,0.7890777985117607
22,"state=0/foldid=2/ask_ids=['163:1', '108:2', '121:2', '135:2', '137:1', '125:4', '50:1', '65:4', '102:2', '53:2']",cnn-sep,rs,158,0.7605191395663956
23,"state=0/foldid=2/ask_ids=['151:3', '119:2', '55:3', '124:2', '113:2', '62:4', '140:1', '63:3']",cnn-sep,rs,166,0.8058404558404558
0,"state=1/foldid=0/ask_ids=['63:3', '125:4', '87:4', '148:3', '49:3', '76:1', '102:2', '124:2', '142:1', '137:1']",cnn-sep,lc,58,0.7673835125448029
1,"state=1/foldid=0/ask_ids=['93:2', '122:2', '164:1', '96:2', '149:2', '88:3', '94:2', '111:4', '139:2', '120:4']",cnn-sep,lc,68,0.8225409019073513
2,"state=1/foldid=0/ask_ids=['113:2', '101:1', '161:2', '157:2', '138:2', '158:1', '152:2', '136:2', '140:1', '104:3']",cnn-sep,lc,78,0.8085566985414856
3,"state=1/foldid=0/ask_ids=['58:3', '129:2', '50:1', '54:1', '55:3', '80:2', '132:2', '70:4', '61:4', '86:2']",cnn-sep,lc,88,0.7630759048522208
4,"state=1/foldid=0/ask_ids=['85:3', '144:3', '128:3', '57:3', '126:2', '143:3', '146:1', '59:2', '116:3', '118:1']",cnn-sep,lc,98,0.7822235792051894
5,"state=1/foldid=0/ask_ids=['82:3', '48:4', '75:1', '74:3', '150:1', '159:1', '107:2', '83:2', '110:2', '154:1']",cnn-sep,lc,108,0.7797921932788761
6,"state=1/foldid=0/ask_ids=['115:4', '156:4', '81:3', '105:4', '60:1', '145:1', '78:1', '160:1', '123:4', '65:4']",cnn-sep,lc,118,0.8100015103725324
7,"state=1/foldid=0/ask_ids=['99:2', '84:2', '95:1', '98:2', '90:2', '100:1', '135:2', '131:1', '77:2', '56:4']",cnn-sep,lc,128,0.8348875661375661
8,"state=1/foldid=0/ask_ids=['114:2', '73:2', '108:2', '155:2', '92:1', '147:2', '62:4', '133:4', '163:1', '121:2']",cnn-sep,lc,138,0.8878014842300557
9,"state=1/foldid=0/ask_ids=['151:3', '153:4', '67:1', '64:1', '52:3', '51:1', '109:3', '68:2', '66:1', '53:2']",cnn-sep,lc,148,0.843452380952381
10,"state=1/foldid=0/ask_ids=['97:3', '165:4', '130:2', '112:2', '162:2', '141:2', '72:2', '89:3', '103:2', '91:2']",cnn-sep,lc,158,0.81993006993007
11,"state=1/foldid=0/ask_ids=['69:2', '127:2', '106:2', '117:3', '71:2', '134:2', '119:2', '79:3']",cnn-sep,lc,166,0.8480010041151738
12,"state=1/foldid=0/ask_ids=['49:3', '76:1', '83:2', '82:3', '126:2', '65:4', '88:3', '132:2', '70:4', '53:2']",cnn-sep,rs,58,0.7610389610389611
13,"state=1/foldid=0/ask_ids=['69:2', '87:4', '100:1', '155:2', '135:2', '66:1', '85:3', '95:1', '98:2', '154:1']",cnn-sep,rs,68,0.8038292161638252
14,"state=1/foldid=0/ask_ids=['138:2', '114:2', '157:2', '52:3', '117:3', '128:3', '94:2', '158:1', '51:1', '109:3']",cnn-sep,rs,78,0.7398611111111112
15,"state=1/foldid=0/ask_ids=['131:1', '64:1', '62:4', '159:1', '116:3', '60:1', '84:2', '72:2', '112:2', '127:2']",cnn-sep,rs,88,0.8428154279547468
16,"state=1/foldid=0/ask_ids=['119:2', '55:3', '67:1', '86:2', '57:3', '120:4', '118:1', '58:3', '97:3', '136:2']",cnn-sep,rs,98,0.8440738244983529
17,"state=1/foldid=0/ask_ids=['160:1', '147:2', '122:2', '89:3', '156:4', '104:3', '142:1', '73:2', '150:1', '134:2']",cnn-sep,rs,108,0.8380018674136321
18,"state=1/foldid=0/ask_ids=['74:3', '91:2', '63:3', '75:1', '144:3', '152:2', '115:4', '129:2', '99:2', '124:2']",cnn-sep,rs,118,0.8855874631894108
19,"state=1/foldid=0/ask_ids=['162:2', '50:1', '110:2', '48:4', '107:2', '153:4', '106:2', '163:1', '137:1', '149:2']",cnn-sep,rs,128,0.8477498691784406
20,"state=1/foldid=0/ask_ids=['123:4', '164:1', '130:2', '81:3', '102:2', '113:2', '92:1', '141:2', '103:2', '101:1']",cnn-sep,rs,138,0.8116433566433565
21,"state=1/foldid=0/ask_ids=['146:1', '161:2', '68:2', '54:1', '105:4', '79:3', '78:1', '148:3', '90:2', '80:2']",cnn-sep,rs,148,0.8853481081869213
22,"state=1/foldid=0/ask_ids=['145:1', '139:2', '108:2', '151:3', '77:2', '59:2', '140:1', '165:4', '133:4', '121:2']",cnn-sep,rs,158,0.8556773289155092
23,"state=1/foldid=0/ask_ids=['93:2', '56:4', '96:2', '61:4', '71:2', '125:4', '143:3', '111:4']",cnn-sep,rs,166,0.8598943021575565
