experimen_no,algorithm,query_strategy,number_of_instances,f1
10,"state=2/foldid=0/ask_ids=['65:4', '164:1', '51:1', '146:1', '150:1', '122:1', '95:1', '142:1', '78:1', '117:3']",cnn-sep,lc,158,0.7940976472188223
11,"state=2/foldid=0/ask_ids=['58:3', '97:3', '108:3', '70:4', '52:3', '56:4', '133:4', '151:3']",cnn-sep,lc,166,0.8554474955504704
12,"state=2/foldid=0/ask_ids=['117:3', '157:2', '99:2', '86:2', '91:2', '107:2', '52:3', '49:3', '119:2', '147:2']",cnn-sep,rs,58,0.648923541247485
13,"state=2/foldid=0/ask_ids=['100:1', '70:4', '150:1', '60:1', '115:4', '58:3', '71:3', '113:2', '164:1', '116:3']",cnn-sep,rs,68,0.7253058031873774
14,"state=2/foldid=0/ask_ids=['122:1', '64:1', '95:1', '68:2', '72:2', '141:2', '144:3', '59:2', '54:1', '132:2']",cnn-sep,rs,78,0.7954071836358515
15,"state=2/foldid=0/ask_ids=['94:2', '112:2', '50:1', '80:2', '152:2', '121:2', '96:2', '90:1', '67:1', '128:3']",cnn-sep,rs,88,0.6730467012601927
16,"state=2/foldid=0/ask_ids=['88:3', '93:1', '139:2', '103:2', '63:4', '106:2', '130:2', '145:1', '97:3', '158:1']",cnn-sep,rs,98,0.7203729752770673
17,"state=2/foldid=0/ask_ids=['98:2', '125:4', '153:4', '118:1', '110:3', '124:2', '83:2', '105:4', '74:3', '73:2']",cnn-sep,rs,108,0.6633176274944569
18,"state=2/foldid=0/ask_ids=['131:1', '69:2', '55:3', '87:4', '140:1', '111:4', '48:4', '163:1', '76:1', '82:3']",cnn-sep,rs,118,0.7190365190365191
19,"state=2/foldid=0/ask_ids=['92:1', '61:4', '89:3', '161:2', '120:4', '149:2', '56:4', '162:2', '126:2', '143:3']",cnn-sep,rs,128,0.7217025043112
20,"state=2/foldid=0/ask_ids=['108:3', '104:3', '79:3', '146:1', '65:4', '75:1', '138:2', '127:2', '148:3', '129:2']",cnn-sep,rs,138,0.7771066143159167
21,"state=2/foldid=0/ask_ids=['123:4', '142:1', '134:1', '155:2', '53:2', '62:4', '66:1', '114:2', '160:1', '165:4']",cnn-sep,rs,148,0.7480220262828958
22,"state=2/foldid=0/ask_ids=['133:4', '57:3', '136:2', '85:3', '154:1', '109:3', '137:1', '135:2', '156:4', '78:1']",cnn-sep,rs,158,0.8174178762414057
23,"state=2/foldid=0/ask_ids=['77:2', '151:3', '159:1', '102:2', '51:1', '81:3', '101:1', '84:2']",cnn-sep,rs,166,0.799934072507144
0,"state=2/foldid=1/ask_ids=['154:1', '148:3', '76:1', '100:1', '105:4', '150:1', '159:1', '163:1', '146:1', '132:2']",cnn-sep,lc,58,0.717687908496732
1,"state=2/foldid=1/ask_ids=['80:2', '77:2', '70:3', '71:2', '110:2', '112:2', '121:2', '57:3', '125:3', '115:4']",cnn-sep,lc,68,0.7706409609508592
2,"state=2/foldid=1/ask_ids=['135:2', '91:2', '152:2', '72:2', '106:2', '84:2', '162:2', '133:4', '73:2', '53:2']",cnn-sep,lc,78,0.745840210052513
3,"state=2/foldid=1/ask_ids=['143:3', '114:2', '97:3', '142:1', '81:3', '119:2', '147:2', '58:2', '56:4', '117:3']",cnn-sep,lc,88,0.8097531705582552
4,"state=2/foldid=1/ask_ids=['111:3', '64:1', '60:1', '109:3', '140:1', '151:3', '48:3', '155:2', '124:2', '137:1']",cnn-sep,lc,98,0.7906914404049701
5,"state=2/foldid=1/ask_ids=['101:1', '82:3', '65:4', '136:2', '156:4', '145:1', '90:1', '96:2', '88:3', '157:2']",cnn-sep,lc,108,0.7999934119989459
6,"state=2/foldid=1/ask_ids=['89:3', '75:1', '74:3', '92:1', '123:3', '128:2', '102:1', '131:1', '118:1', '160:1']",cnn-sep,lc,118,0.7846748556615553
7,"state=2/foldid=1/ask_ids=['98:1', '141:2', '149:2', '78:1', '165:4', '93:1', '103:2', '66:1', '61:4', '129:1']",cnn-sep,lc,128,0.7930886633030202
8,"state=2/foldid=1/ask_ids=['158:1', '63:3', '130:2', '138:2', '104:2', '51:1', '94:2', '134:1', '86:2', '116:2']",cnn-sep,lc,138,0.7875481974166184
9,"state=2/foldid=1/ask_ids=['144:2', '59:2', '164:1', '161:2', '52:2', '99:2', '126:2', '95:1', '67:1', '113:2']",cnn-sep,lc,148,0.7990669074647403
10,"state=2/foldid=1/ask_ids=['50:1', '54:1', '127:2', '69:2', '83:2', '107:2', '108:2', '122:1', '68:1', '139:2']",cnn-sep,lc,158,0.7606752856752856
11,"state=2/foldid=1/ask_ids=['153:4', '85:3', '49:3', '120:4', '79:3', '87:4', '55:3', '62:4']",cnn-sep,lc,166,0.8511108989050166
12,"state=2/foldid=1/ask_ids=['110:2', '56:4', '104:2', '121:2', '124:2', '62:4', '95:1', '76:1', '109:3', '158:1']",cnn-sep,rs,58,0.7887862954767504
13,"state=2/foldid=1/ask_ids=['94:2', '69:2', '89:3', '137:1', '83:2', '51:1', '102:1', '116:2', '68:1', '150:1']",cnn-sep,rs,68,0.6899268219832736
14,"state=2/foldid=1/ask_ids=['144:2', '115:4', '78:1', '147:2', '118:1', '107:2', '156:4', '152:2', '52:2', '126:2']",cnn-sep,rs,78,0.7328781512605043
15,"state=2/foldid=1/ask_ids=['63:3', '127:2', '114:2', '55:3', '97:3', '108:2', '86:2', '113:2', '125:3', '96:2']",cnn-sep,rs,88,0.7973679685284517
16,"state=2/foldid=1/ask_ids=['66:1', '99:2', '58:2', '157:2', '72:2', '70:3', '154:1', '91:2', '75:1', '146:1']",cnn-sep,rs,98,0.7128934044882322
17,"state=2/foldid=1/ask_ids=['73:2', '57:3', '123:3', '140:1', '129:1', '161:2', '141:2', '74:3', '142:1', '85:3']",cnn-sep,rs,108,0.8369862561120656
18,"state=2/foldid=1/ask_ids=['149:2', '98:1', '105:4', '134:1', '138:2', '67:1', '155:2', '122:1', '53:2', '130:2']",cnn-sep,rs,118,0.8093805704099821
19,"state=2/foldid=1/ask_ids=['133:4', '131:1', '61:4', '119:2', '88:3', '159:1', '164:1', '128:2', '162:2', '103:2']",cnn-sep,rs,128,0.7903884515253279
20,"state=2/foldid=1/ask_ids=['135:2', '64:1', '60:1', '143:3', '50:1', '90:1', '79:3', '59:2', '136:2', '71:2']",cnn-sep,rs,138,0.7807274424921484
21,"state=2/foldid=1/ask_ids=['87:4', '160:1', '92:1', '117:3', '48:3', '106:2', '77:2', '54:1', '84:2', '145:1']",cnn-sep,rs,148,0.8235056078735044
22,"state=2/foldid=1/ask_ids=['81:3', '151:3', '65:4', '101:1', '49:3', '111:3', '148:3', '80:2', '82:3', '165:4']",cnn-sep,rs,158,0.8450312328321159
23,"state=2/foldid=1/ask_ids=['120:4', '153:4', '100:1', '112:2', '93:1', '139:2', '132:2', '163:1']",cnn-sep,rs,166,0.8235999411811282
0,"state=2/foldid=2/ask_ids=['61:4', '65:4', '144:3', '161:3', '79:3', '137:1', '111:4', '118:1', '133:4', '117:3']",cnn-sep,lc,58,0.6750572082379862
1,"state=2/foldid=2/ask_ids=['106:2', '84:2', '77:2', '62:4', '135:3', '143:3', '82:4', '153:4', '105:4', '145:2']",cnn-sep,lc,68,0.7676283882468987
2,"state=2/foldid=2/ask_ids=['126:2', '86:2', '115:4', '154:1', '49:3', '134:2', '151:4', '94:2', '54:1', '70:4']",cnn-sep,lc,78,0.8272184471874874
3,"state=2/foldid=2/ask_ids=['66:1', '109:3', '163:1', '146:1', '100:1', '85:4', '75:1', '50:1', '150:1', '159:1']",cnn-sep,lc,88,0.8023748880429914
4,"state=2/foldid=2/ask_ids=['158:1', '123:4', '139:2', '52:3', '155:2', '156:4', '142:1', '130:2', '160:1', '147:2']",cnn-sep,lc,98,0.7023109243697478
5,"state=2/foldid=2/ask_ids=['110:3', '157:3', '48:4', '87:4', '55:4', '104:3', '121:2', '74:3', '56:4', '72:2']",cnn-sep,lc,108,0.7849761987693021
6,"state=2/foldid=2/ask_ids=['89:3', '129:2', '108:3', '148:3', '91:2', '97:3', '81:3', '88:3', '120:4', '112:2']",cnn-sep,lc,118,0.8068477214377406
7,"state=2/foldid=2/ask_ids=['93:2', '132:2', '63:4', '58:3', '102:2', '101:2', '152:2', '53:2', '103:2', '124:2']",cnn-sep,lc,128,0.8163690476190476
8,"state=2/foldid=2/ask_ids=['122:2', '140:1', '92:1', '119:2', '51:2', '78:1', '162:2', '68:2', '127:2', '141:2']",cnn-sep,lc,138,0.75282131661442
9,"state=2/foldid=2/ask_ids=['116:3', '96:3', '60:1', '67:1', '76:1', '131:1', '113:3', '73:3', '71:3', '164:1']",cnn-sep,lc,148,0.7240204479992383
10,"state=2/foldid=2/ask_ids=['165:4', '57:4', '114:2', '83:2', '64:1', '136:2', '149:2', '107:2', '138:2', '90:2']",cnn-sep,lc,158,0.8030541074531647
11,"state=2/foldid=2/ask_ids=['69:2', '59:2', '99:2', '98:2', '125:4', '95:1', '80:3', '128:3']",cnn-sep,lc,166,0.727400468384075
12,"state=2/foldid=2/ask_ids=['143:3', '137:1', '157:3', '112:2', '54:1', '56:4', '77:2', '119:2', '50:1', '159:1']",cnn-sep,rs,58,0.6856731823164048
13,"state=2/foldid=2/ask_ids=['135:3', '89:3', '69:2', '99:2', '132:2', '66:1', '147:2', '49:3', '124:2', '51:2']",cnn-sep,rs,68,0.7059495820271682
14,"state=2/foldid=2/ask_ids=['57:4', '164:1', '117:3', '64:1', '81:3', '142:1', '129:2', '71:3', '127:2', '59:2']",cnn-sep,rs,78,0.6759997674959312
15,"state=2/foldid=2/ask_ids=['74:3', '88:3', '162:2', '155:2', '104:3', '73:3', '105:4', '116:3', '53:2', '72:2']",cnn-sep,rs,88,0.7141808403460945
16,"state=2/foldid=2/ask_ids=['91:2', '151:4', '79:3', '75:1', '149:2', '113:3', '118:1', '92:1', '76:1', '65:4']",cnn-sep,rs,98,0.7612672391360916
17,"state=2/foldid=2/ask_ids=['100:1', '61:4', '126:2', '109:3', '140:1', '148:3', '96:3', '98:2', '90:2', '82:4']",cnn-sep,rs,108,0.7590194516465656
18,"state=2/foldid=2/ask_ids=['70:4', '156:4', '141:2', '101:2', '68:2', '145:2', '160:1', '146:1', '60:1', '163:1']",cnn-sep,rs,118,0.8082014031166573
19,"state=2/foldid=2/ask_ids=['48:4', '131:1', '139:2', '138:2', '154:1', '122:2', '110:3', '94:2', '86:2', '93:2']",cnn-sep,rs,128,0.7753789129561571
20,"state=2/foldid=2/ask_ids=['58:3', '83:2', '108:3', '150:1', '158:1', '114:2', '128:3', '152:2', '120:4', '97:3']",cnn-sep,rs,138,0.7690368455074338
21,"state=2/foldid=2/ask_ids=['153:4', '103:2', '52:3', '134:2', '111:4', '144:3', '121:2', '165:4', '125:4', '85:4']",cnn-sep,rs,148,0.7260310872736899
22,"state=2/foldid=2/ask_ids=['161:3', '133:4', '102:2', '55:4', '107:2', '87:4', '67:1', '123:4', '115:4', '106:2']",cnn-sep,rs,158,0.8335565476190476
23,"state=2/foldid=2/ask_ids=['130:2', '78:1', '63:4', '80:3', '136:2', '62:4', '84:2', '95:1']",cnn-sep,rs,166,0.7985821382007824
0,"state=3/foldid=0/ask_ids=['88:3', '141:2', '99:2', '97:3', '94:2', '127:2', '132:2', '146:1', '48:3', '102:2']",cnn-sep,lc,58,0.7337021221532092
1,"state=3/foldid=0/ask_ids=['104:3', '89:3', '123:4', '85:3', '71:3', '120:4', '117:3', '154:1', '125:3', '81:3']",cnn-sep,lc,68,0.7448287742472308
2,"state=3/foldid=0/ask_ids=['161:2', '83:2', '55:3', '133:4', '130:2', '58:3', '139:2', '82:3', '66:1', '52:3']",cnn-sep,lc,78,0.7615304833308507
3,"state=3/foldid=0/ask_ids=['128:3', '147:2', '57:3', '112:2', '111:3', '49:3', '163:1', '145:1', '153:4', '122:2']",cnn-sep,lc,88,0.7765079608083283
4,"state=3/foldid=0/ask_ids=['103:2', '101:2', '84:2', '107:2', '75:1', '64:1', '134:2', '137:1', '131:1', '68:2']",cnn-sep,lc,98,0.7741931459935134
5,"state=3/foldid=0/ask_ids=['124:2', '165:4', '78:1', '74:3', '61:4', '108:2', '70:3', '79:3', '87:4', '67:1']",cnn-sep,lc,108,0.8085799893590211
6,"state=3/foldid=0/ask_ids=['148:3', '156:4', '143:3', '144:3', '109:3', '162:2', '54:1', '116:3', '142:1', '149:2']",cnn-sep,lc,118,0.7816580120420261
7,"state=3/foldid=0/ask_ids=['105:4', '160:1', '60:1', '118:1', '114:2', '51:1', '77:2', '115:4', '76:1', '159:1']",cnn-sep,lc,128,0.8400058805410098
8,"state=3/foldid=0/ask_ids=['90:2', '135:2', '113:2', '152:2', '119:2', '106:2', '140:1', '73:2', '69:2', '72:2']",cnn-sep,lc,138,0.6669309233127213
9,"state=3/foldid=0/ask_ids=['62:4', '65:4', '164:1', '92:1', '150:1', '95:1', '136:2', '91:2', '50:1', '56:4']",cnn-sep,lc,148,0.7344929267645162
10,"state=3/foldid=0/ask_ids=['80:2', '129:2', '110:2', '121:2', '155:2', '59:2', '158:1', '86:2', '96:2', '53:2']",cnn-sep,lc,158,0.8250718390804597
11,"state=3/foldid=0/ask_ids=['93:2', '138:2', '98:2', '126:2', '157:2', '100:1', '63:3', '151:3']",cnn-sep,lc,166,0.819560341619165
12,"state=3/foldid=0/ask_ids=['60:1', '123:4', '49:3', '71:3', '164:1', '67:1', '83:2', '126:2', '101:2', '125:3']",cnn-sep,rs,58,0.73883368404645
13,"state=3/foldid=0/ask_ids=['165:4', '118:1', '56:4', '102:2', '72:2', '136:2', '74:3', '114:2', '108:2', '59:2']",cnn-sep,rs,68,0.814805890643784
14,"state=3/foldid=0/ask_ids=['53:2', '84:2', '112:2', '76:1', '117:3', '151:3', '91:2', '110:2', '85:3', '97:3']",cnn-sep,rs,78,0.7959788173470217
15,"state=3/foldid=0/ask_ids=['73:2', '94:2', '119:2', '107:2', '65:4', '115:4', '145:1', '99:2', '141:2', '147:2']",cnn-sep,rs,88,0.7050824352952012
16,"state=3/foldid=0/ask_ids=['105:4', '106:2', '138:2', '98:2', '150:1', '50:1', '109:3', '89:3', '131:1', '48:3']",cnn-sep,rs,98,0.8180467534316151
17,"state=3/foldid=0/ask_ids=['63:3', '143:3', '144:3', '103:2', '52:3', '146:1', '90:2', '92:1', '130:2', '82:3']",cnn-sep,rs,108,0.772282426484107
18,"state=3/foldid=0/ask_ids=['78:1', '54:1', '163:1', '139:2', '120:4', '121:2', '162:2', '55:3', '148:3', '159:1']",cnn-sep,rs,118,0.7699675324675326
19,"state=3/foldid=0/ask_ids=['153:4', '161:2', '64:1', '155:2', '58:3', '66:1', '133:4', '134:2', '96:2', '87:4']",cnn-sep,rs,128,0.7883793170514851
20,"state=3/foldid=0/ask_ids=['86:2', '157:2', '140:1', '81:3', '61:4', '111:3', '160:1', '156:4', '100:1', '79:3']",cnn-sep,rs,138,0.8095238095238095
21,"state=3/foldid=0/ask_ids=['57:3', '135:2', '69:2', '154:1', '149:2', '137:1', '80:2', '132:2', '88:3', '104:3']",cnn-sep,rs,148,0.7918111417083608
22,"state=3/foldid=0/ask_ids=['152:2', '93:2', '62:4', '95:1', '158:1', '128:3', '116:3', '75:1', '68:2', '70:3']",cnn-sep,rs,158,0.7714835934373749
23,"state=3/foldid=0/ask_ids=['51:1', '122:2', '124:2', '77:2', '129:2', '127:2', '113:2', '142:1']",cnn-sep,rs,166,0.7794853688546515
0,"state=3/foldid=1/ask_ids=['86:2', '161:2', '156:4', '128:3', '144:3', '160:1', '116:2', '91:2', '50:1', '103:2']",cnn-sep,lc,58,0.7898981790992259
1,"state=3/foldid=1/ask_ids=['129:1', '75:1', '48:4', '61:4', '88:3', '137:1', '145:1', '117:3', '143:3', '151:3']",cnn-sep,lc,68,0.7627860411899313
2,"state=3/foldid=1/ask_ids=['165:4', '65:4', '79:3', '115:4', '106:2', '57:3', '81:3', '120:4', '85:3', '111:4']",cnn-sep,lc,78,0.7567368032484312
3,"state=3/foldid=1/ask_ids=['139:2', '148:3', '135:2', '152:2', '93:1', '90:1', '124:2', '55:3', '127:2', '71:2']",cnn-sep,lc,88,0.7901270527475859
4,"state=3/foldid=1/ask_ids=['96:2', '123:4', '100:1', '159:1', '54:1', '140:1', '74:3', '142:1', '95:1', '114:2']",cnn-sep,lc,98,0.7916588183820421
5,"state=3/foldid=1/ask_ids=['133:4', '56:4', '141:2', '125:4', '60:1', '107:2', '52:3', '158:1', '147:2', '49:3']",cnn-sep,lc,108,0.8163091291597603
6,"state=3/foldid=1/ask_ids=['80:2', '138:2', '132:2', '89:3', '122:1', '157:2', '82:3', '113:2', '64:1', '77:2']",cnn-sep,lc,118,0.6579921422663358
7,"state=3/foldid=1/ask_ids=['112:2', '70:4', '101:1', '118:1', '163:1', '164:1', '87:4', '146:1', '84:2', '76:1']",cnn-sep,lc,128,0.768340021608273
8,"state=3/foldid=1/ask_ids=['109:3', '97:3', '63:4', '83:2', '67:1', '121:2', '126:2', '130:2', '62:4', '108:2']",cnn-sep,lc,138,0.7619256474519632
9,"state=3/foldid=1/ask_ids=['58:3', '66:1', '150:1', '78:1', '104:3', '110:2', '99:2', '72:2', '162:2', '136:2']",cnn-sep,lc,148,0.6565070505287897
10,"state=3/foldid=1/ask_ids=['155:2', '154:1', '53:2', '119:2', '59:2', '94:2', '131:1', '68:1', '134:1', '102:2']",cnn-sep,lc,158,0.7737420837649496
11,"state=3/foldid=1/ask_ids=['98:1', '92:1', '51:1', '69:2', '73:2', '149:2', '153:4', '105:4']",cnn-sep,lc,166,0.8242369186046512
12,"state=3/foldid=1/ask_ids=['50:1', '136:2', '90:1', '152:2', '83:2', '75:1', '163:1', '158:1', '89:3', '115:4']",cnn-sep,rs,58,0.691469732453339
13,"state=3/foldid=1/ask_ids=['114:2', '155:2', '117:3', '126:2', '70:4', '112:2', '142:1', '121:2', '120:4', '122:1']",cnn-sep,rs,68,0.741321673085152
14,"state=3/foldid=1/ask_ids=['52:3', '156:4', '74:3', '61:4', '160:1', '148:3', '48:4', '103:2', '153:4', '145:1']",cnn-sep,rs,78,0.7648831834082959
15,"state=3/foldid=1/ask_ids=['84:2', '105:4', '92:1', '69:2', '140:1', '129:1', '56:4', '127:2', '131:1', '146:1']",cnn-sep,rs,88,0.6776711727192881
16,"state=3/foldid=1/ask_ids=['71:2', '78:1', '80:2', '91:2', '144:3', '149:2', '124:2', '88:3', '66:1', '147:2']",cnn-sep,rs,98,0.7294735018743226
17,"state=3/foldid=1/ask_ids=['96:2', '62:4', '67:1', '102:2', '151:3', '133:4', '94:2', '135:2', '165:4', '132:2']",cnn-sep,rs,108,0.8113679489391064
18,"state=3/foldid=1/ask_ids=['113:2', '138:2', '85:3', '82:3', '107:2', '95:1', '125:4', '128:3', '79:3', '137:1']",cnn-sep,rs,118,0.7547782343344009
19,"state=3/foldid=1/ask_ids=['59:2', '123:4', '72:2', '111:4', '64:1', '97:3', '106:2', '162:2', '141:2', '68:1']",cnn-sep,rs,128,0.7686703096539163
20,"state=3/foldid=1/ask_ids=['58:3', '143:3', '154:1', '63:4', '119:2', '98:1', '53:2', '159:1', '81:3', '49:3']",cnn-sep,rs,138,0.703859649122807
21,"state=3/foldid=1/ask_ids=['76:1', '100:1', '108:2', '93:1', '55:3', '150:1', '157:2', '86:2', '77:2', '101:1']",cnn-sep,rs,148,0.6708822091886608
22,"state=3/foldid=1/ask_ids=['118:1', '116:2', '60:1', '51:1', '65:4', '139:2', '87:4', '104:3', '57:3', '130:2']",cnn-sep,rs,158,0.7415256892230576
23,"state=3/foldid=1/ask_ids=['134:1', '110:2', '99:2', '109:3', '164:1', '161:2', '54:1', '73:2']",cnn-sep,rs,166,0.7994507192296827
0,"state=3/foldid=2/ask_ids=['123:4', '109:3', '74:3', '57:3', '149:2', '112:2', '101:1', '160:1', '110:3', '85:3']",cnn-sep,lc,58,0.6968944099378882
1,"state=3/foldid=2/ask_ids=['127:2', '157:2', '72:2', '70:4', '114:2', '148:3', '48:4', '155:2', '81:3', '165:4']",cnn-sep,lc,68,0.8288363845678446
2,"state=3/foldid=2/ask_ids=['150:1', '132:2', '141:2', '145:1', '120:4', '151:3', '78:1', '65:4', '158:1', '90:1']",cnn-sep,lc,78,0.8056092203063404
3,"state=3/foldid=2/ask_ids=['122:1', '119:2', '100:1', '113:2', '115:4', '61:4', '73:2', '116:3', '126:2', '128:3']",cnn-sep,lc,88,0.8035359801488833
4,"state=3/foldid=2/ask_ids=['79:3', '143:3', '58:3', '93:1', '50:1', '108:3', '159:1', '104:3', '144:3', '63:3']",cnn-sep,lc,98,0.8126216573025083
5,"state=3/foldid=2/ask_ids=['153:4', '82:3', '83:2', '52:3', '89:3', '97:3', '133:4', '102:2', '121:2', '54:1']",cnn-sep,lc,108,0.7770230263157895
6,"state=3/foldid=2/ask_ids=['146:1', '137:1', '68:1', '129:1', '76:1', '64:1', '88:3', '62:4', '56:4', '140:1']",cnn-sep,lc,118,0.8349642106300138
7,"state=3/foldid=2/ask_ids=['84:2', '75:1', '67:1', '71:3', '117:3', '66:1', '95:1', '49:3', '154:1', '135:2']",cnn-sep,lc,128,0.7874711155961156
8,"state=3/foldid=2/ask_ids=['164:1', '98:1', '156:4', '87:4', '134:1', '131:1', '60:1', '118:1', '92:1', '163:1']",cnn-sep,lc,138,0.8009727075031163
9,"state=3/foldid=2/ask_ids=['125:4', '111:4', '105:4', '59:2', '96:2', '91:2', '77:2', '103:2', '152:2', '99:2']",cnn-sep,lc,148,0.832905767366754
10,"state=3/foldid=2/ask_ids=['53:2', '138:2', '136:2', '55:3', '69:2', '94:2', '147:2', '139:2', '86:2', '51:1']",cnn-sep,lc,158,0.8177109166627673
11,"state=3/foldid=2/ask_ids=['124:2', '162:2', '80:2', '130:2', '161:2', '107:2', '106:2', '142:1']",cnn-sep,lc,166,0.8269148875766523
12,"state=3/foldid=2/ask_ids=['162:2', '118:1', '133:4', '159:1', '92:1', '89:3', '116:3', '99:2', '91:2', '155:2']",cnn-sep,rs,58,0.5453346855983773
13,"state=3/foldid=2/ask_ids=['87:4', '122:1', '130:2', '123:4', '147:2', '67:1', '134:1', '86:2', '102:2', '64:1']",cnn-sep,rs,68,0.7749645515774548
14,"state=3/foldid=2/ask_ids=['106:2', '60:1', '149:2', '94:2', '98:1', '120:4', '78:1', '65:4', '80:2', '82:3']",cnn-sep,rs,78,0.5099974200206399
15,"state=3/foldid=2/ask_ids=['157:2', '151:3', '164:1', '112:2', '84:2', '104:3', '146:1', '71:3', '110:3', '79:3']",cnn-sep,rs,88,0.7423660714285715
16,"state=3/foldid=2/ask_ids=['83:2', '85:3', '72:2', '138:2', '97:3', '152:2', '77:2', '143:3', '119:2', '93:1']",cnn-sep,rs,98,0.7346148136773136
17,"state=3/foldid=2/ask_ids=['141:2', '121:2', '96:2', '135:2', '95:1', '117:3', '145:1', '160:1', '125:4', '62:4']",cnn-sep,rs,108,0.791944871007371
18,"state=3/foldid=2/ask_ids=['109:3', '63:3', '73:2', '132:2', '124:2', '108:3', '56:4', '75:1', '163:1', '137:1']",cnn-sep,rs,118,0.7830845771144279
19,"state=3/foldid=2/ask_ids=['113:2', '115:4', '111:4', '129:1', '100:1', '51:1', '158:1', '70:4', '140:1', '61:4']",cnn-sep,rs,128,0.8058059210526316
20,"state=3/foldid=2/ask_ids=['107:2', '57:3', '136:2', '52:3', '90:1', '148:3', '66:1', '105:4', '48:4', '156:4']",cnn-sep,rs,138,0.8688411369332423
21,"state=3/foldid=2/ask_ids=['144:3', '49:3', '126:2', '54:1', '139:2', '127:2', '114:2', '69:2', '58:3', '55:3']",cnn-sep,rs,148,0.7973527843973409
22,"state=3/foldid=2/ask_ids=['161:2', '131:1', '76:1', '53:2', '128:3', '101:1', '74:3', '59:2', '81:3', '153:4']",cnn-sep,rs,158,0.793954933954934
23,"state=3/foldid=2/ask_ids=['103:2', '150:1', '142:1', '50:1', '165:4', '68:1', '154:1', '88:3']",cnn-sep,rs,166,0.7988032713085235
0,"state=4/foldid=0/ask_ids=['147:2', '138:2', '109:3', '161:2', '77:2', '155:2', '158:1', '160:1', '110:3', '102:2']",cnn-sep,lc,58,0.7699671172816953
1,"state=4/foldid=0/ask_ids=['49:3', '74:3', '115:4', '144:3', '151:3', '152:2', '145:1', '123:4', '68:2', '69:2']",cnn-sep,lc,68,0.7663108211263342
2,"state=4/foldid=0/ask_ids=['157:2', '53:2', '78:1', '124:2', '132:2', '112:2', '51:1', '76:1', '139:2', '62:4']",cnn-sep,lc,78,0.8346544382574517
3,"state=4/foldid=0/ask_ids=['117:3', '133:4', '95:1', '82:3', '104:3', '81:3', '56:4', '73:2', '136:2', '146:1']",cnn-sep,lc,88,0.7642929230286474
4,"state=4/foldid=0/ask_ids=['159:1', '88:3', '58:3', '153:4', '163:1', '85:3', '127:2', '116:3', '107:2', '65:4']",cnn-sep,lc,98,0.8184473654645545
5,"state=4/foldid=0/ask_ids=['97:3', '63:3', '93:1', '137:1', '84:2', '71:3', '89:3', '120:4', '154:1', '57:3']",cnn-sep,lc,108,0.8289340496565325
6,"state=4/foldid=0/ask_ids=['141:2', '125:3', '70:4', '143:3', '86:2', '61:4', '165:4', '99:2', '60:1', '87:4']",cnn-sep,lc,118,0.8828851639911548
7,"state=4/foldid=0/ask_ids=['48:3', '111:3', '131:1', '156:4', '150:1', '50:1', '98:2', '91:2', '142:1', '54:1']",cnn-sep,lc,128,0.8394534926717763
8,"state=4/foldid=0/ask_ids=['79:3', '55:3', '52:3', '128:3', '96:2', '135:2', '67:1', '100:1', '113:2', '66:1']",cnn-sep,lc,138,0.9010351966873706
9,"state=4/foldid=0/ask_ids=['59:2', '101:1', '148:3', '75:1', '108:2', '64:1', '164:1', '83:2', '92:1', '118:1']",cnn-sep,lc,148,0.8410830437494431
10,"state=4/foldid=0/ask_ids=['149:2', '106:2', '126:2', '162:2', '121:2', '103:2', '80:2', '94:2', '72:2', '129:2']",cnn-sep,lc,158,0.8357563777084325
11,"state=4/foldid=0/ask_ids=['130:2', '140:1', '134:1', '114:2', '122:1', '90:1', '119:2', '105:4']",cnn-sep,lc,166,0.9020308805271494
12,"state=4/foldid=0/ask_ids=['79:3', '84:2', '63:3', '117:3', '133:4', '139:2', '59:2', '99:2', '148:3', '111:3']",cnn-sep,rs,58,0.758888843111404
13,"state=4/foldid=0/ask_ids=['106:2', '120:4', '49:3', '105:4', '163:1', '56:4', '121:2', '92:1', '85:3', '48:3']",cnn-sep,rs,68,0.6714693211078703
14,"state=4/foldid=0/ask_ids=['164:1', '54:1', '77:2', '149:2', '129:2', '80:2', '69:2', '81:3', '132:2', '152:2']",cnn-sep,rs,78,0.798237968927624
15,"state=4/foldid=0/ask_ids=['138:2', '141:2', '83:2', '67:1', '142:1', '64:1', '60:1', '57:3', '119:2', '89:3']",cnn-sep,rs,88,0.7787467700258399
16,"state=4/foldid=0/ask_ids=['62:4', '103:2', '76:1', '158:1', '124:2', '160:1', '140:1', '97:3', '94:2', '88:3']",cnn-sep,rs,98,0.757310291060291
17,"state=4/foldid=0/ask_ids=['102:2', '143:3', '114:2', '112:2', '156:4', '90:1', '150:1', '107:2', '75:1', '137:1']",cnn-sep,rs,108,0.8179910714285714
18,"state=4/foldid=0/ask_ids=['70:4', '100:1', '123:4', '118:1', '128:3', '95:1', '101:1', '50:1', '78:1', '115:4']",cnn-sep,rs,118,0.7948966408268734
19,"state=4/foldid=0/ask_ids=['108:2', '71:3', '110:3', '136:2', '82:3', '146:1', '162:2', '109:3', '155:2', '73:2']",cnn-sep,rs,128,0.869474712962108
20,"state=4/foldid=0/ask_ids=['159:1', '126:2', '53:2', '131:1', '165:4', '151:3', '65:4', '66:1', '58:3', '74:3']",cnn-sep,rs,138,0.8178646989682643
