['experimen_no', 'algorithm', 'query_strategy', 'number_of_instances', 'f1']
0,"state=5/foldid=0/ask_ids=['28:4', '96:3', '122:3', '106:2', '92:2', '126:2', '38:2', '88:1', '120:3', '109:1']",cnn-sep,lc,30,0.8082505729564554
1,"state=5/foldid=0/ask_ids=['93:4', '76:3', '44:1', '79:4', '59:1', '95:1', '161:3', '88:1', '24:1', '61:2']",cnn-sep,rs,30,0.6207776213933849
0,"state=5/foldid=1/ask_ids=['64:3', '34:3', '132:2', '73:2', '87:4', '124:1', '135:2', '65:2', '162:1', '94:2']",cnn-sep,lc,30,0.6436735532942748
1,"state=5/foldid=1/ask_ids=['147:3', '78:4', '96:3', '68:1', '162:1', '23:2', '84:1', '57:4', '49:2', '121:2']",cnn-sep,rs,30,0.6576210098005804
0,"state=5/foldid=2/ask_ids=['24:2', '136:2', '41:1', '139:2', '35:2', '128:2', '69:2', '72:1', '92:2', '123:2']",cnn-sep,lc,30,0.635377506265664
1,"state=5/foldid=2/ask_ids=['78:4', '114:2', '81:3', '45:2', '97:4', '24:2', '29:4', '40:4', '95:1', '162:1']",cnn-sep,rs,30,0.617235477700594
0,"state=6/foldid=0/ask_ids=['65:2', '136:2', '155:2', '45:2', '47:1', '151:2', '121:2', '110:2', '43:2', '33:2']",cnn-sep,lc,30,0.6462458148452797
1,"state=6/foldid=0/ask_ids=['25:2', '64:2', '78:4', '99:2', '35:2', '103:2', '60:2', '41:1', '117:2', '136:2']",cnn-sep,rs,30,0.6135276720712375
0,"state=6/foldid=1/ask_ids=['103:3', '49:3', '44:1', '72:1', '159:4', '90:3', '61:3', '124:1', '25:2', '55:1']",cnn-sep,lc,30,0.585339026915114
1,"state=6/foldid=1/ask_ids=['112:3', '30:3', '139:2', '80:4', '45:2', '119:2', '129:1', '159:4', '90:3', '118:3']",cnn-sep,rs,30,0.6412729924641439
0,"state=6/foldid=2/ask_ids=['80:4', '40:4', '103:3', '76:3', '158:3', '30:2', '39:3', '113:2', '34:3', '114:2']",cnn-sep,lc,30,0.537886002886003
1,"state=6/foldid=2/ask_ids=['74:2', '123:2', '159:3', '86:2', '100:2', '71:1', '111:1', '67:2', '142:2', '116:3']",cnn-sep,rs,30,0.6575917546505782
0,"state=7/foldid=0/ask_ids=['90:3', '112:3', '62:3', '143:4', '164:4', '127:4', '133:3', '118:3', '67:2', '77:1']",cnn-sep,lc,30,0.7246544382574517
1,"state=7/foldid=0/ask_ids=['73:2', '107:4', '109:1', '125:3', '130:2', '87:4', '56:1', '23:2', '52:4', '90:3']",cnn-sep,rs,30,0.712273799449016
0,"state=7/foldid=1/ask_ids=['67:2', '85:2', '23:2', '98:2', '62:3', '21:1', '117:2', '149:3', '101:3', '155:2']",cnn-sep,lc,30,0.7303141711229946
1,"state=7/foldid=1/ask_ids=['39:3', '23:2', '122:3', '32:2', '60:2', '136:2', '51:4', '124:1', '82:2', '123:2']",cnn-sep,rs,30,0.5964602809702326
0,"state=7/foldid=2/ask_ids=['73:2', '68:1', '60:2', '69:2', '128:2', '75:1', '84:1', '137:2', '54:2', '38:2']",cnn-sep,lc,30,0.596290351040574
1,"state=7/foldid=2/ask_ids=['57:4', '25:2', '94:2', '67:2', '79:4', '73:2', '23:2', '97:4', '40:4', '164:4']",cnn-sep,rs,30,0.6160048763497039
0,"state=8/foldid=0/ask_ids=['58:4', '83:3', '163:1', '60:2', '40:4', '63:1', '128:2', '142:2', '161:3', '121:2']",cnn-sep,lc,30,0.6425238060811369
1,"state=8/foldid=0/ask_ids=['37:3', '77:1', '158:2', '150:2', '160:4', '70:4', '64:3', '107:4', '129:1', '120:3']",cnn-sep,rs,30,0.6479427736006683
0,"state=8/foldid=1/ask_ids=['82:2', '145:4', '99:2', '85:2', '110:2', '143:3', '154:1', '120:3', '90:3', '116:3']",cnn-sep,lc,30,0.5657316503038803
1,"state=8/foldid=1/ask_ids=['61:2', '119:2', '138:1', '38:2', '145:4', '144:1', '77:1', '111:1', '37:3', '158:2']",cnn-sep,rs,30,0.6798516991615507
0,"state=8/foldid=2/ask_ids=['140:4', '82:2', '73:3', '118:3', '160:4', '161:3', '95:2', '88:2', '116:4', '32:2']",cnn-sep,lc,30,0.7078778186987142
1,"state=8/foldid=2/ask_ids=['88:2', '60:2', '27:1', '20:1', '151:3', '45:2', '43:2', '109:1', '158:3', '69:2']",cnn-sep,rs,30,0.6359057609057609
0,"state=9/foldid=0/ask_ids=['120:3', '81:3', '28:4', '160:4', '108:3', '48:4', '90:3', '107:4', '47:1', '145:4']",cnn-sep,lc,30,0.742489550679206
1,"state=9/foldid=0/ask_ids=['100:2', '57:4', '96:3', '127:4', '71:1', '44:1', '89:3', '75:1', '154:1', '56:1']",cnn-sep,rs,30,0.7355230089831164
0,"state=9/foldid=1/ask_ids=['34:3', '149:3', '143:4', '97:4', '118:3', '49:3', '71:1', '114:3', '103:3', '117:2']",cnn-sep,lc,30,0.7105106498236555
1,"state=9/foldid=1/ask_ids=['58:4', '147:3', '145:4', '41:1', '70:4', '78:4', '90:3', '80:4', '56:1', '25:2']",cnn-sep,rs,30,0.6149502481316897
0,"state=9/foldid=2/ask_ids=['94:2', '35:2', '136:2', '61:2', '38:2', '151:2', '130:2', '42:2', '106:2', '109:1']",cnn-sep,lc,30,0.7171530739642196
1,"state=9/foldid=2/ask_ids=['88:1', '139:2', '154:1', '136:2', '77:1', '102:1', '87:4', '58:4', '125:3', '114:2']",cnn-sep,rs,30,0.6440696558343617
