['experimen_no', 'algorithm', 'query_strategy', 'number_of_instances', 'f1']
1,"state=7/foldid=1/ask_ids=['55:3', '60:1', '52:3', '96:2', '138:2', '89:3', '131:1', '68:2', '135:2', '104:3']",cnn-sep,rs,58,0.658933658933659
0,"state=7/foldid=2/ask_ids=['143:3', '91:2', '68:2', '100:1', '73:2', '157:2', '79:3', '118:1', '124:2', '66:1']",cnn-sep,lc,58,0.6072373128774652
1,"state=7/foldid=2/ask_ids=['111:4', '136:2', '156:4', '154:1', '101:1', '64:1', '49:3', '71:2', '118:1', '69:2']",cnn-sep,rs,58,0.6091606346148193
0,"state=8/foldid=0/ask_ids=['143:3', '84:2', '95:1', '92:1', '94:2', '52:3', '80:2', '127:2', '73:2', '113:2']",cnn-sep,lc,58,0.709714783230591
1,"state=8/foldid=0/ask_ids=['138:2', '139:2', '99:2', '136:2', '70:3', '62:4', '144:3', '82:3', '165:4', '105:4']",cnn-sep,rs,58,0.6717904027727559
0,"state=8/foldid=1/ask_ids=['49:3', '105:4', '85:3', '89:3', '143:3', '55:3', '67:1', '90:1', '74:3', '132:2']",cnn-sep,lc,58,0.6807870387701034
1,"state=8/foldid=1/ask_ids=['160:1', '50:1', '59:2', '109:3', '80:2', '129:1', '140:1', '131:1', '106:2', '151:3']",cnn-sep,rs,58,0.6682401593115878
0,"state=8/foldid=2/ask_ids=['65:4', '84:2', '79:3', '48:4', '56:4', '120:4', '131:1', '158:1', '139:2', '110:3']",cnn-sep,lc,58,0.7924371760198332
1,"state=8/foldid=2/ask_ids=['67:1', '134:2', '88:3', '146:1', '148:3', '79:3', '150:1', '116:3', '163:1', '152:2']",cnn-sep,rs,58,0.7903743315508021
0,"state=9/foldid=0/ask_ids=['89:3', '51:1', '114:2', '145:2', '133:4', '57:4', '66:1', '73:3', '153:4', '108:3']",cnn-sep,lc,58,0.7541079575275547
1,"state=9/foldid=0/ask_ids=['124:2', '102:2', '147:2', '98:2', '144:3', '97:3', '78:1', '79:3', '109:3', '55:4']",cnn-sep,rs,58,0.683491871324801
0,"state=9/foldid=1/ask_ids=['52:3', '109:3', '134:2', '79:3', '146:1', '154:1', '165:4', '162:2', '91:2', '156:4']",cnn-sep,lc,58,0.7028915534804754
1,"state=9/foldid=1/ask_ids=['82:3', '63:4', '78:1', '95:1', '147:2', '60:1', '130:2', '106:2', '80:3', '53:2']",cnn-sep,rs,58,0.7060023310023311
0,"state=9/foldid=2/ask_ids=['58:3', '61:4', '162:2', '128:3', '80:2', '165:4', '139:2', '161:2', '65:4', '127:2']",cnn-sep,lc,58,0.7133892606278505
1,"state=9/foldid=2/ask_ids=['163:1', '153:4', '112:2', '140:1', '107:2', '56:4', '133:4', '90:1', '128:3', '132:2']",cnn-sep,rs,58,0.8050456479077533
